n_epoch	LAS_epoch	LAS_main_epoch	LAS_aux_epoch	acc_head_epoch	acc_deprel_main_epoch	acc_deprel_aux_epoch	acc_pos_epoch	loss_head_epoch	loss_deprel_main_epoch	loss_deprel_aux_epoch
0	0.32101725561102157	0.32101725561102157	0.32101725561102157	0.48693054518297235	0.6103926732439763	0.6103926732439763	0.683581620219331	1.843466945655683	3.4903332250904664	3.4903332388213792
1	0.3582406351951574	0.3582406351951574	0.3582406351951574	0.5311505050902087	0.6328760661923667	0.6328760661923667	0.7589717385322904	1.5897524965371137	2.8527177160322976	2.8527177341321375
2	0.39153335167642783	0.39153335167642783	0.39153335167642783	0.5661334067057112	0.6494634644864589	0.6494634644864589	0.7822412641012538	1.5667784463672738	2.8775460389272083	2.877546052658121
3	0.41291615895601586	0.41291615895601586	0.41291615895601586	0.585511575802838	0.6616485201053418	0.6616485201053418	0.7948979992924806	1.5823890395189455	2.8721390987566005	2.8721390993807328
4	0.4285601981054204	0.4285601981054204	0.4285601981054204	0.597107031956291	0.670610431979875	0.670610431979875	0.8037812979049566	1.5470363950230064	2.8147996932424175	2.8147996994837414
5	0.43622499115600805	0.43622499115600805	0.43622499115600805	0.6051648913171652	0.6738335757242246	0.6738335757242246	0.8091269997248536	1.5084008752363514	2.7521149662776767	2.7521149706466037
6	0.44841004677489094	0.44841004677489094	0.44841004677489094	0.6168782673637042	0.6782752250304627	0.6782752250304627	0.8126252898864038	1.5370119498038166	2.799062274513444	2.799062255789472
7	0.46204944774183404	0.46204944774183404	0.46204944774183404	0.6313431075822491	0.6842498329468182	0.6842498329468182	0.8175386187649857	1.6253975005674113	2.948089224505799	2.948089221385137
8	0.4681026689202468	0.4681026689202468	0.4681026689202468	0.6367674226642035	0.686765457332652	0.686765457332652	0.8191501906371604	1.6685714284787003	2.9076681311842036	2.9076681205739527
9	0.4726229314885421	0.4726229314885421	0.4726229314885421	0.6407766990291263	0.6888094021461421	0.6888094021461421	0.821823041547109	1.6824795812836493	2.8733411440674548	2.8733411571742353
10	0.47352698400220117	0.47352698400220117	0.47352698400220117	0.6433316300459888	0.6890845485633427	0.6890845485633427	0.8226877874297394	1.7620837797669215	2.9513475320726164	2.951347527079557
11	0.47466687630203214	0.47466687630203214	0.47466687630203214	0.6451397350733069	0.6896348413977438	0.6896348413977438	0.8240635195157423	1.8493753134892248	3.0865214557547844	3.0865214563789167
12	0.48001257812192916	0.48001257812192916	0.48001257812192916	0.6509178098345191	0.6896348413977438	0.6896348413977438	0.8259895444361464	1.8898731289109634	3.112680453280504	3.112680456401166
13	0.4847686804763964	0.4847686804763964	0.4847686804763964	0.6555166856648716	0.6911284933768327	0.6911284933768327	0.8281514091427223	1.8838543071172624	3.0833394021888054	3.083339398444011
14	0.48893518336543373	0.48893518336543373	0.48893518336543373	0.6588970559333359	0.6939192641798672	0.6939192641798672	0.8304311937423844	1.8556782277154673	3.018418347648301	3.018418366372273
15	0.491293581227153	0.491293581227153	0.491293581227153	0.6603120946503676	0.6953736095279274	0.6953736095279274	0.831610392673244	1.9068122652812778	3.0397374998212485	3.039737479224879
16	0.4917259541684682	0.4917259541684682	0.4917259541684682	0.6593294288746512	0.6953343028968987	0.6953343028968987	0.8331040446523329	1.9646480202050733	3.0533372463356137	3.0533372500804083
17	0.4950277111748752	0.4950277111748752	0.4950277111748752	0.6623560394638576	0.6951377697417555	0.6951377697417555	0.8347156165245077	1.9744815920035876	2.956525302058115	2.956525294568526
18	0.4997052002672851	0.4997052002672851	0.4997052002672851	0.6678982744388978	0.6963955819346723	0.6963955819346723	0.8362878817656538	1.9838169582227139	2.97611285441833	2.976112852545933
19	0.503124877166778	0.503124877166778	0.503124877166778	0.6709641916591329	0.6964741951967297	0.6964741951967297	0.8366416414449117	2.0526922448143283	3.0000869235443197	3.0000869559992047
20	0.5062301010180418	0.5062301010180418	0.5062301010180418	0.6740694155103966	0.6976533941275893	0.6976533941275893	0.8375456939585708	2.1114962824976256	3.1092421808792032	3.109242198354911
21	0.5073306866868441	0.5073306866868441	0.5073306866868441	0.6751306945481703	0.6984002201171338	0.6984002201171338	0.8381746000550293	2.1279099583625793	3.13842159166386	3.1384215866708005
22	0.5072520734247867	0.5072520734247867	0.5072520734247867	0.6748948547619984	0.6987932864274203	0.6987932864274203	0.8375456939585708	2.0992841077724678	3.0902858704172504	3.090285899127341
23	0.5113006564207382	0.5113006564207382	0.5113006564207382	0.678117998506348	0.7000117919893086	0.7000117919893086	0.8378208403757714	2.101980735182138	3.0795232107502004	3.0795232126225978
24	0.5109075901104516	0.5109075901104516	0.5109075901104516	0.6781966117684053	0.6998152588341653	0.6998152588341653	0.8375850005895995	2.1211441043783856	3.126168376488211	3.126168380233006
25	0.5093746315003341	0.5093746315003341	0.5093746315003341	0.677096026099603	0.6995008057859361	0.6995008057859361	0.8368774812310836	2.140701731618162	3.151792775273947	3.15179277340155
26	0.5115758028379388	0.5115758028379388	0.5115758028379388	0.6792971974372076	0.6996187256790221	0.6996187256790221	0.8384497464722299	2.1563348851278814	3.1895225778300103	3.189522574709348
27	0.5137769741755435	0.5137769741755435	0.5137769741755435	0.6806336228921819	0.7006406980857671	0.7006406980857671	0.8398254785582328	2.193618614012034	3.248391276254704	3.248391265644453
28	0.5148382532133171	0.5148382532133171	0.5148382532133171	0.6805550096301246	0.7015840572304548	0.7015840572304548	0.8423411029440666	2.2447895482572586	3.313226950106196	3.3132269488579316
29	0.5155064659408042	0.5155064659408042	0.5155064659408042	0.6809087693093825	0.7022915765889706	0.7022915765889706	0.8435203018749263	2.2921282752022067	3.362107494114581	3.362107471021682
30	0.5162925985613773	0.5162925985613773	0.5162925985613773	0.6819307417161276	0.7023308832199993	0.7023308832199993	0.8439133681852129	2.2983040254153506	3.3235761619987287	3.323576151388478
31	0.517353877599151	0.517353877599151	0.517353877599151	0.6829920207539012	0.7026846428992571	0.7026846428992571	0.8430879289336111	2.301110094754484	3.243755011658394	3.243755017899718
32	0.5176290240163516	0.5176290240163516	0.5176290240163516	0.6831099406469872	0.703156322471601	0.703156322471601	0.8428913957784678	2.3146240308646755	3.2317895546009403	3.231789540245895
33	0.5187296096851539	0.5187296096851539	0.5187296096851539	0.6848787390432766	0.7035100821508589	0.7035100821508589	0.8435203018749263	2.3819032573575125	3.308362318583184	3.3083623316899646
34	0.5160174521441767	0.5160174521441767	0.5160174521441767	0.6808301560473252	0.7035493887818876	0.7035493887818876	0.8437561416610982	2.4862166128233465	3.2796355485916138	3.279635553584673
35	0.5164105184544633	0.5164105184544633	0.5164105184544633	0.6813411422506976	0.7029990959474863	0.7029990959474863	0.8437561416610982	2.3790719446711517	3.2196956461012674	3.2196956523425917
36	0.5125191619826265	0.5125191619826265	0.5125191619826265	0.6760347470618293	0.7026060296371998	0.7026060296371998	0.8435989151369836	2.385223619600865	3.1996335109491	3.1996335097008353
37	0.5107896702173657	0.5107896702173657	0.5107896702173657	0.6740694155103966	0.703824535199088	0.703824535199088	0.8434809952438976	2.340884724836699	3.1809079921682466	3.180907997161306
38	0.5108289768483943	0.5108289768483943	0.5108289768483943	0.6735977359380527	0.7058684800125781	0.7058684800125781	0.8428127825164106	2.284768519601273	3.1961364739852427	3.1961364802265666
39	0.5138948940686294	0.5138948940686294	0.5138948940686294	0.6769387995754884	0.7077551983019535	0.7077551983019535	0.8435203018749263	2.2917442627602225	3.257231485781245	3.257231505753482
40	0.517118037812979	0.517118037812979	0.517118037812979	0.6808694626783538	0.7078338115640108	0.7078338115640108	0.8436775283990409	2.300134762419456	3.207907341537675	3.2079073402894105
41	0.5190047561023544	0.5190047561023544	0.5190047561023544	0.6833457804331591	0.7075979717778389	0.7075979717778389	0.8445029676506427	2.3211371159054224	3.2224622590379566	3.222462290244577
42	0.5203411815573287	0.5203411815573287	0.5203411815573287	0.6846428992571046	0.707362131991667	0.707362131991667	0.8457607798435596	2.3329544788255743	3.236370140969441	3.2363701478348976
43	0.5217955269053889	0.5217955269053889	0.5217955269053889	0.685743484925907	0.7075586651468103	0.7075586651468103	0.8467041389882474	2.363839772359239	3.2630060349459424	3.2630060443079283
44	0.5232498722534492	0.5232498722534492	0.5232498722534492	0.6865296175464801	0.7074800518847529	0.7074800518847529	0.84662552572619	2.3260340631320213	3.30780491030029	3.307804914045084
45	0.5253331236979678	0.5253331236979678	0.5253331236979678	0.6883377225737982	0.7075586651468103	0.7075586651468103	0.8474116583467631	2.3090389033886773	3.3708452054967433	3.370845219227656
46	0.5273377618804292	0.5273377618804292	0.5273377618804292	0.6898313745528871	0.708502024291498	0.708502024291498	0.8480405644432216	2.3266015995235345	3.3535559764083143	3.3535559670463284
47	0.5283597342871742	0.5283597342871742	0.5283597342871742	0.6899492944459731	0.709406076805157	0.709406076805157	0.8486301639086514	2.341989289559619	3.327789343464437	3.3277893678056008
48	0.5286741873354035	0.5286741873354035	0.5286741873354035	0.6901065209700876	0.7095633033292716	0.7095633033292716	0.8480405644432216	2.3211207714380393	3.2204794496765934	3.22047945654205
49	0.5277701348217444	0.5277701348217444	0.5277701348217444	0.6898706811839157	0.7088164773397272	0.7088164773397272	0.8468220588813333	2.3287594658542052	3.177026336105706	3.1770263379781034
50	0.5287921072284895	0.5287921072284895	0.5287921072284895	0.6917967061043198	0.7096026099603003	0.7096026099603003	0.8470185920364766	2.3798622932109534	3.2748121772136987	3.274812195937671
51	0.5293424000628906	0.5293424000628906	0.5293424000628906	0.692229079045635	0.7090130104948705	0.7090130104948705	0.8472151251916198	2.4057672069022793	3.303752570252144	3.303752596465705
52	0.5300106127903778	0.5300106127903778	0.5300106127903778	0.6919539326284344	0.709523996698243	0.709523996698243	0.847883337919107	2.416707037787163	3.353985649128859	3.3539856578667124
53	0.5295389332180339	0.5295389332180339	0.5295389332180339	0.6927007586179789	0.7083447977673833	0.7083447977673833	0.8481191777052789	2.414296942699642	3.2590889406453876	3.2590889175524884
54	0.5275342950355725	0.5275342950355725	0.5275342950355725	0.6910105734837467	0.7074800518847529	0.7074800518847529	0.8473723517157344	2.4207093363032914	3.155434790082003	3.155434793202665
55	0.5275736016666012	0.5275736016666012	0.5275736016666012	0.69120710663889	0.7073228253606383	0.7073228253606383	0.8480012578121929	2.4507131779381117	3.1907171909721734	3.19071719783763
56	0.5275342950355725	0.5275342950355725	0.5275342950355725	0.6902244408631736	0.7079517314570968	0.7079517314570968	0.8478047246570496	2.4696373100056075	3.276334879286002	3.2763348830307963
57	0.5275342950355725	0.5275342950355725	0.5275342950355725	0.6908140403286034	0.7075979717778389	0.7075979717778389	0.8482764042293935	2.44346015662423	3.2596406275065157	3.259640628130648
58	0.5296961597421485	0.5296961597421485	0.5296961597421485	0.6927793718800361	0.7084627176604693	0.7084627176604693	0.848787390432766	2.4376412486530725	3.260244429423547	3.2602444163167665
59	0.5311505050902087	0.5311505050902087	0.5311505050902087	0.6936441177626665	0.7090523171258991	0.7090523171258991	0.8492983766361385	2.454267897218934	3.299883316948776	3.2998833138281136
60	0.5317401045556386	0.5317401045556386	0.5317401045556386	0.6941157973350104	0.7098777563775008	0.7098777563775008	0.8497700562084823	2.4922683304517057	3.3748817824568422	3.3748817980601524
61	0.5315435714004952	0.5315435714004952	0.5315435714004952	0.6936441177626665	0.7108211155221886	0.7108211155221886	0.8498879761015683	2.5688236767708945	3.6465014537591585	3.6465014687383364
62	0.531347038245352	0.531347038245352	0.531347038245352	0.6929759050351795	0.7110569553083605	0.7110569553083605	0.8494556031602531	2.554758080949334	3.484337491514795	3.484337487770001
63	0.5304822923627216	0.5304822923627216	0.5304822923627216	0.6919932392594631	0.7110569553083605	0.7110569553083605	0.8490232302189379	2.5421517257290986	3.359995908762148	3.3599958744348655
64	0.5301285326834637	0.5301285326834637	0.5301285326834637	0.6914429464250619	0.7109783420463032	0.7109783420463032	0.8497700562084823	2.555387785921546	3.348327325900812	3.3483273084251044
65	0.5314256515074093	0.5314256515074093	0.5314256515074093	0.6934475846075233	0.7112141818324751	0.7112141818324751	0.8500058959946543	2.5857375495096777	3.4277228884671995	3.42772286787083
66	0.5318187178176959	0.5318187178176959	0.5318187178176959	0.6936048111316379	0.7112141818324751	0.7112141818324751	0.8494162965292245	2.598595295901074	3.4751571410613535	3.4751571516716044
67	0.5314256515074093	0.5314256515074093	0.5314256515074093	0.6932117448213514	0.7110962619393891	0.7110962619393891	0.8498879761015683	2.5961322952939576	3.4308335606340337	3.430833562506431
68	0.5310325851971227	0.5310325851971227	0.5310325851971227	0.6926221453559216	0.7108211155221886	0.7108211155221886	0.8497307495774538	2.6149392252817205	3.4349680059243246	3.4349679803348963
