n_epoch	LAS_epoch	LAS_chuliu_epoch	LAS_main_epoch	LAS_aux_epoch	acc_head_epoch	acc_deprel_main_epoch	acc_deprel_aux_epoch	acc_pos_epoch	loss_head_epoch	loss_deprel_main_epoch	loss_deprel_aux_epoch
0	0.0005595523581135092	0.0007993605115907274	0.0005595523581135092	0.0005595523581135092	0.03205435651478817	0.007513988808952838	0.007513988808952838	0.012709832134292566	5.542883907876363	4.2050898714763365	4.20508990636686
1	0.09112709832134293	0.1140687450039968	0.09112709832134293	0.09112709832134293	0.16274980015987212	0.5096722621902477	0.5096722621902477	0.4175059952038369	2.9629984861466943	1.9640132290561025	1.9640132479551362
2	0.11223021582733812	0.13613109512390087	0.11223021582733812	0.11223021582733812	0.17370103916866506	0.5725819344524381	0.5725819344524381	0.46290967226219026	2.801784939882232	1.6762389831426667	1.6762389715124921
3	0.12797761790567547	0.15091926458832933	0.12797761790567547	0.12797761790567547	0.18297362110311752	0.6413269384492406	0.6413269384492406	0.5248601119104717	2.7211839542156313	1.462689757347107	1.4626897558933352
4	0.14924060751398882	0.16866506794564348	0.14924060751398882	0.14924060751398882	0.19864108713029577	0.6869704236610712	0.6869704236610712	0.5702637889688249	2.626209251764344	1.2852712353555167	1.2852712208177985
5	0.16562749800159873	0.18625099920063948	0.16562749800159873	0.16562749800159873	0.21454836131095123	0.7089528377298161	0.7089528377298161	0.6059152677857714	2.5384264021385006	1.1741721913581942	1.1741721913581942
6	0.1874500399680256	0.20679456434852117	0.1874500399680256	0.1874500399680256	0.23796962430055954	0.7271782573940847	0.7271782573940847	0.6359712230215827	2.4342729696413365	1.084409138778361	1.0844091307826158
7	0.20287769784172663	0.22470023980815348	0.20287769784172663	0.20287769784172663	0.25603517186251	0.7374900079936051	0.7374900079936051	0.659392486011191	2.3659470095867063	1.0207803707297256	1.020780375817927
8	0.22294164668265387	0.24260591526778577	0.22294164668265387	0.22294164668265387	0.27641886490807355	0.7486011191047163	0.7486011191047163	0.67585931254996	2.2935327204262337	0.9735594646232885	0.9735594689846039
9	0.23964828137490007	0.25851318944844126	0.23964828137490007	0.23964828137490007	0.293445243804956	0.7569944044764189	0.7569944044764189	0.6872102318145483	2.2271662906902594	0.9256583219621239	0.9256583248696676
10	0.25595523581135093	0.2729816147082334	0.25595523581135093	0.25595523581135093	0.30935251798561153	0.7636290967226219	0.7636290967226219	0.6982414068745004	2.1681855524458538	0.8956563770771027	0.8956563727157872
11	0.267066346922462	0.28784972022382094	0.267066346922462	0.267066346922462	0.3207833733013589	0.7713029576338929	0.7713029576338929	0.7213429256594724	2.119480935538687	0.8598768020548472	0.8598767976935316
12	0.27961630695443646	0.301119104716227	0.27961630695443646	0.27961630695443646	0.33589128697042364	0.7756195043964829	0.7756195043964829	0.7402078337330136	2.0719999147624506	0.8353074033085893	0.8353074011279316
13	0.2916866506794564	0.3143884892086331	0.2916866506794564	0.2916866506794564	0.34932054356514786	0.7800959232613909	0.7800959232613909	0.7529176658673061	2.0200803788696846	0.8118735471876656	0.8118735515489811
14	0.30487609912070346	0.3278177458033573	0.30487609912070346	0.30487609912070346	0.36227018385291765	0.7861710631494804	0.7861710631494804	0.7621103117505995	1.9664146827488411	0.7916229672548247	0.7916229716161403
15	0.3199040767386091	0.34532374100719426	0.3199040767386091	0.3199040767386091	0.378017585931255	0.7905675459632294	0.7905675459632294	0.7718625099920063	1.9104208292030707	0.7708296659516125	0.7708296663150555
16	0.3369304556354916	0.36258992805755397	0.3369304556354916	0.3369304556354916	0.3952837729816147	0.795603517186251	0.795603517186251	0.7777777777777778	1.8683162258892525	0.7546215340858553	0.7546215311783117
17	0.3473221422861711	0.37170263788968827	0.3473221422861711	0.3473221422861711	0.40599520383693044	0.7983213429256595	0.7983213429256595	0.7839328537170264	1.8263201102977846	0.7379149016810627	0.7379149060423781
18	0.3586730615507594	0.38281374900079934	0.3586730615507594	0.3586730615507594	0.42094324540367706	0.7994404476418865	0.7994404476418865	0.7896882494004797	1.7819915123102141	0.7265250591970072	0.7265250613776649
19	0.36594724220623503	0.3917665867306155	0.36594724220623503	0.36594724220623503	0.4278976818545164	0.8028776978417266	0.8028776978417266	0.7929656274980016	1.7571269215607062	0.7137802766590584	0.7137802744784006
20	0.3776179056754596	0.40215827338129495	0.3776179056754596	0.3776179056754596	0.43996802557953635	0.8059952038369305	0.8059952038369305	0.7964028776978417	1.7195607118490266	0.7010534049534216	0.7010534060437504
21	0.38705035971223023	0.4127098321342926	0.38705035971223023	0.38705035971223023	0.4487609912070344	0.8090327737809753	0.8090327737809753	0.8007993605115907	1.6850958219388636	0.6911974305786738	0.6911974316690026
22	0.39520383693045563	0.4213429256594724	0.39520383693045563	0.39520383693045563	0.45619504396482813	0.8097521982414069	0.8097521982414069	0.8036770583533174	1.6651335874708688	0.6805507816919466	0.6805507860532621
23	0.40591526778577136	0.43013589128697044	0.40591526778577136	0.40591526778577136	0.4660271782573941	0.814308553157474	0.814308553157474	0.8059152677857714	1.6322412803405668	0.6707329673738014	0.6707329659200296
24	0.4175059952038369	0.4446043165467626	0.4175059952038369	0.4175059952038369	0.4762589928057554	0.8171063149480415	0.8171063149480415	0.807673860911271	1.6034157661403097	0.6613087901254979	0.6613087941233705
25	0.42509992006394887	0.4487609912070344	0.42509992006394887	0.42509992006394887	0.4856115107913669	0.8177458033573142	0.8177458033573142	0.8108713029576339	1.580190021817277	0.6538387816853639	0.6538387871370083
26	0.4271782573940847	0.45443645083932854	0.4271782573940847	0.4271782573940847	0.48689048760991205	0.8212629896083133	0.8212629896083133	0.8127897681854517	1.563378879209844	0.6445933911131649	0.6445933918400508
27	0.43709032773780976	0.4612310151878497	0.43709032773780976	0.43709032773780976	0.4974420463629097	0.8226219024780176	0.8226219024780176	0.8137490007993605	1.5388760290494778	0.637158684250785	0.6371586860679999
28	0.4434052757793765	0.4680255795363709	0.4434052757793765	0.4434052757793765	0.5042366107114309	0.8239808153477218	0.8239808153477218	0.8169464428457234	1.5173428233076887	0.6295470133787249	0.6295470162862684
29	0.44972022382094323	0.4779376498800959	0.44972022382094323	0.44972022382094323	0.5107114308553158	0.8256594724220624	0.8256594724220624	0.8183053557154276	1.5004251737420151	0.621930092209723	0.6219300936634947
30	0.45235811350919264	0.4773780975219824	0.45235811350919264	0.45235811350919264	0.5119104716227019	0.8266986410871303	0.8266986410871303	0.8194244604316546	1.4845552553490895	0.6166289368780647	0.6166289452372528
