n_epoch	LAS_epoch	LAS_chuliu_epoch	LAS_main_epoch	LAS_aux_epoch	acc_head_epoch	acc_deprel_main_epoch	acc_deprel_aux_epoch	acc_pos_epoch	loss_head_epoch	loss_deprel_main_epoch	loss_deprel_aux_epoch	n_iter
0	0.20420919639591714	0.20680254014695615	0.20420919639591714	0.20420919639591714	0.4030987133025235	0.3219071050969179	0.3219071050969179	0.41633141603218404	9.278223278408959	11.239441076914469	11.23944106329055	0
4999	0.3223725770522326	0.33154902417129367	0.3223725770522326	0.3223725770522326	0.459886291850916	0.6496658576320776	0.6496658576320776	0.710742427768727	7.997643125057221	4.252982083388737	4.2529820544379096	4999
9999	0.17817601489510257	0.1871529740333145	0.17817601489510257	0.17817601489510257	0.26209395883897996	0.6354689629949796	0.6354689629949796	0.693453469428467	7.872583938780285	4.98551321370261	4.985513177372161	9999
14999	0.10436546198091565	0.11759816471057619	0.10436546198091565	0.10436546198091565	0.1611862885261163	0.6003258303687203	0.6003258303687203	0.6617348804734515	10.4652787117731	4.608373361542111	4.608373374030704	14999
19999	0.14981547361771452	0.15962363267613125	0.14981547361771452	0.14981547361771452	0.2311400738105529	0.5989959104963926	0.5989959104963926	0.6534228812714034	10.739610267820812	4.6512309335526965	4.6512309380940025	19999
24999	0.10050869435116534	0.10725803770322838	0.10050869435116534	0.10050869435116534	0.1606875685739934	0.5741929048774811	0.5741929048774811	0.60235395817402	12.59650347119286	3.8802120151973907	3.8802120061147782	24999
29999	0.07500748079928184	0.07796655251521095	0.07500748079928184	0.07500748079928184	0.127938291717924	0.5346610366725405	0.5346610366725405	0.5618246500648336	12.319226964314778	5.562833639553615	5.562833663395473	29999
34999	0.07228114506101008	0.07410978488546065	0.07228114506101008	0.07228114506101008	0.1222528842637231	0.5380855803437843	0.5380855803437843	0.564152009841407	18.31668162118821	9.894139042354766	9.894139012836275	34999
39999	0.0903015593310503	0.10509691791069588	0.0903015593310503	0.0903015593310503	0.14582571400073147	0.5511852910862121	0.5511852910862121	0.6015892542474316	10.847193742933728	4.316355050177801	4.316355043365842	39999
44999	0.08055989626624996	0.0993450144628786	0.08055989626624996	0.08055989626624996	0.12827077168600592	0.5724972570402633	0.5724972570402633	0.5619576420520663	11.471945449284144	3.4292262565521967	3.429226238954635	44999
49999	0.07550620075140473	0.09432456694484158	0.07550620075140473	0.07550620075140473	0.125344947966885	0.5834358479901586	0.5834358479901586	0.6336070751737208	20.123181338537307	8.67554309254601	8.675543112981886	49999
54999	0.08105861621837285	0.09056754330551585	0.08105861621837285	0.08105861621837285	0.1576952488612561	0.49502942447717524	0.49502942447717524	0.5654819297137348	12.50380003452301	9.61376382282802	9.613763879594348	54999
59999	0.084715895867274	0.09296139907570569	0.084715895867274	0.084715895867274	0.15919140871762477	0.5073311832962064	0.5073311832962064	0.5791801043987099	14.188757212956746	10.83986867950076	10.839868674959455	59999
64999	0.04465205971340227	0.06250623399940154	0.04465205971340227	0.04465205971340227	0.09326063104697942	0.5055025434717558	0.5055025434717558	0.4926688167037936	14.021644179026286	10.551489353179932	10.551489430382139	64999
69999	0.06513282574724873	0.0765368886524587	0.06513282574724873	0.06513282574724873	0.12281810020946238	0.5085946071749177	0.5085946071749177	0.5030421917079496	18.592174657185872	12.116710392634074	12.116710306349255	69999
