n_epoch	LAS_epoch	LAS_chuliu_epoch	LAS_main_epoch	LAS_aux_epoch	acc_head_epoch	acc_deprel_main_epoch	acc_deprel_aux_epoch	acc_pos_epoch	loss_head_epoch	loss_deprel_main_epoch	loss_deprel_aux_epoch	n_iter
0	0.0005984639425474616	0.0006982079329720384	0.0005984639425474616	0.0005984639425474616	0.04897429929846727	0.010639358978621538	0.010639358978621538	0.02540146956145892	5.544437821706136	3.8144254616328648	3.814425448008946	0
4999	0.09774911061608538	0.09655218273099046	0.09774911061608538	0.09774911061608538	0.156465072979353	0.4399042457691924	0.4399042457691924	0.5274462213651627	6.607425982043857	6.124145357949393	6.124145389738537	4999
9999	0.09738338265119527	0.09758287063204442	0.09738338265119527	0.09738338265119527	0.15453668916447785	0.4557635402467001	0.4557635402467001	0.5260165575024105	8.314428460030328	7.533750052679153	7.533750027701968	9999
14999	0.06995378528443662	0.09179771918741896	0.06995378528443662	0.06995378528443662	0.11809688466269908	0.4468198291052964	0.4468198291052964	0.5343285567044586	15.924428070159186	7.454097368603661	7.454097341355824	14999
19999	0.09871330252352296	0.09781560660970176	0.09871330252352296	0.09871330252352296	0.14373109020181535	0.4688964989859361	0.4688964989859361	0.536822156465073	10.617521066892715	5.31899311542511	5.318993059794108	19999
24999	0.07121720916314792	0.08338597599494631	0.07121720916314792	0.07121720916314792	0.11620174884463211	0.3856102669814144	0.3856102669814144	0.5129500947567909	15.923380892617361	4.2686838558741975	4.2686838581448505	24999
29999	0.07657013664926689	0.08704325564384746	0.07657013664926689	0.07657013664926689	0.1205904844233135	0.3944542341323935	0.3944542341323935	0.5241546696811518	16.750552856354485	6.058981778508141	6.058981770560855	29999
34999	0.07101772118229877	0.08581307976194434	0.07101772118229877	0.07101772118229877	0.11786414868504172	0.395750906007913	0.395750906007913	0.5116866708780796	17.402479169482277	6.926607039996556	6.926607062703087	34999
39999	0.03574159656880673	0.04535026764637431	0.03574159656880673	0.03574159656880673	0.0868437676629983	0.3339096319446753	0.3339096319446753	0.3660271968613891	26.4312316712879	7.7450950883683705	7.745095105398269	39999
44999	0.06433487382385211	0.06460085779831765	0.06433487382385211	0.06433487382385211	0.12325032416796888	0.30628054659706755	0.30628054659706755	0.5122518868238188	13.016826811290922	9.847091361454554	9.847091395514353	44999
